brand_name,aliases,official_domain,category,match_mode,source
SatuSehat Kemenkes,SatuSehat;PeduliLindungi;Kemenkes,satusehat.kemkes.go.id,pemerintah,edit_distance,Kemenkes RI / DNS: 104.18.27.173
Direktorat Jenderal Imigrasi,Imigrasi;M-Paspor;Paspor Online;e-VoA,imigrasi.go.id,pemerintah,edit_distance,Kemenkumham / DNS: 54.192.164.119
Kepolisian Negara Republik Indonesia,Polri;Polisi;Korlantas;SINAR SIM;ETLE;SKCK Online,polri.go.id,pemerintah,keyword_only,Polri / DNS: 146.88.246.92
JNE Express,JNE;Jalur Nugraha Ekakurir;MyJNE,jne.co.id,logistik,keyword_only,Asperindo / DNS: 110.239.68.51
J&T Express,J&T;J&T Express;JET;JNT,jet.co.id,logistik,keyword_only,Asperindo / DNS: 172.66.166.226
SiCepat Ekspres,SiCepat;Sicepat;SiCepat Ekspres;SiCepat Klik,sicepat.com,logistik,edit_distance,Asperindo / DNS: 128.1.176.167
Pos Indonesia,Pos Indonesia;POS;PosPay;PosAja;Kantor Pos,posindonesia.co.id,logistik,keyword_only,BUMN / DNS: 16.79.88.8
Anteraja,Anteraja;AnterAja;Triputra Logistik,anteraja.id,logistik,edit_distance,Asperindo / DNS: 3.0.24.193
Ninja Xpress,Ninja Xpress;Ninja Van;Ninja Express,ninjaxpress.id,logistik,edit_distance,Asperindo / DNS: 2.57.91.91 [CATATAN: domain resmi www.ninjaxpress.id, domain regional ninjaxpress.co]
Citra Van Titipan Kilat,TIKI;Tiki;Titipan Kilat,tiki.id,logistik,keyword_only,Asperindo / DNS: 13.215.187.162
Lion Parcel,Lion Parcel;Lion Express;Lion Air Group Logistik,lionparcel.com,logistik,edit_distance,Lion Air Group / DNS: 54.251.253.199
Wahana Express,Wahana;Wahana Prestasi Logistik;Wahana Express,wahana.com,logistik,edit_distance,Asperindo / DNS: 103.184.179.114
